Player,Team,Mat,Inns,NO,Runs,HS,Ave,BF,SR,N100,N50,Nzero,Nfour,Nsix
VR Aaron,(Royal Challengers Bangalore),6,1,0,6,6,6,3,200,0,0,0,0,1
SA Abbott,(Royal Challengers Bangalore),2,2,0,15,14,7.5,13,115.38,0,0,0,1,1
MA Agarwal,(Delhi Daredevils),10,10,1,213,68,23.66,177,120.33,0,2,1,23,7
AN Ahmed,(Royal Challengers Bangalore),3,3,2,10,5*,10,5,200,0,0,0,2,0
CJ Anderson,(Mumbai Indians),4,4,1,114,55*,38,97,117.52,0,2,0,11,6
Ankit Sharma,(Rajasthan Royals),4,2,1,7,7*,7,6,116.66,0,0,1,1,0
Anureet Singh,(Kings XI Punjab),14,6,3,18,10,6,31,58.06,0,0,2,0,1
S Aravind,(Royal Challengers Bangalore),5,1,1,0,0*,0,1,0,0,0,0,0,0
A Ashish Reddy,(Sunrisers Hyderabad),6,5,2,73,22*,24.33,46,158.69,0,0,0,3,5
R Ashwin,(Chennai Super Kings),14,6,3,52,23,17.33,32,162.5,0,0,0,6,1
Azhar Mahmood,(Kolkata Knight Riders),1,1,0,6,6,6,7,85.71,0,0,0,1,0
GJ Bailey,(Kings XI Punjab),13,13,2,259,61*,23.54,190,136.31,0,2,0,22,7
R Bhatia,(Rajasthan Royals),2,1,0,0,0,0,1,0,0,0,1,0,0
STR Binny,(Rajasthan Royals),13,8,4,74,20,18.5,66,112.12,0,0,1,7,1
Bipul Sharma,(Sunrisers Hyderabad),4,1,0,1,1,1,2,50,0,0,0,0,0
MS Bisla,(Royal Challengers Bangalore),2,2,0,37,20,18.5,30,123.33,0,0,0,6,1
RS Bopara,(Sunrisers Hyderabad),9,8,3,145,41,29,120,120.83,0,0,1,6,6
J Botha,(Kolkata Knight Riders),4,3,0,31,17,10.33,15,206.66,0,0,0,5,1
TA Boult,(Sunrisers Hyderabad),7,0,0,0,0,0,0,0,0,0,0,0,0
DJ Bravo,(Chennai Super Kings),17,14,5,195,62*,21.66,148,131.75,0,1,1,22,5
JJ Bumrah,(Mumbai Indians),4,1,1,0,0*,0,0,0,0,0,0,0,0
KC Cariappa,(Kolkata Knight Riders),1,0,0,0,0,0,0,0,0,0,0,0,0
YS Chahal,(Royal Challengers Bangalore),15,2,2,1,1*,0,1,100,0,0,0,0,0
UBT Chand,(Mumbai Indians),6,5,0,102,58,20.4,83,122.89,0,1,0,13,2
PP Chawla,(Kolkata Knight Riders),13,8,4,54,22,13.5,47,114.89,0,0,2,5,2
NM Coulter0Nile,(Delhi Daredevils),11,5,1,20,6,5,18,111.11,0,0,0,2,1
PJ Cummins,(Kolkata Knight Riders),3,1,0,0,0,0,2,0,0,0,1,0,0
Q de Kock,(Delhi Daredevils),3,3,0,122,69,40.66,77,158.44,0,2,0,18,4
M de Lange,(Mumbai Indians),1,0,0,0,0,0,0,0,0,0,0,0,0
AB de Villiers,(Royal Challengers Bangalore),16,14,3,513,133*,46.63,293,175.08,1,2,1,60,22
R Dhawan,(Kings XI Punjab),5,5,3,36,25*,18,33,109.09,0,0,0,2,2
S Dhawan,(Sunrisers Hyderabad),14,14,1,353,54,27.15,286,123.42,0,3,0,45,6
MS Dhoni,(Chennai Super Kings),17,17,5,372,53,31,305,121.96,0,1,1,27,17
AB Dinda,(Royal Challengers Bangalore),2,0,0,0,0,0,0,0,0,0,0,0,0
JP Duminy,(Delhi Daredevils),14,13,3,414,78*,41.4,315,131.42,0,4,0,27,20
F du Plessis,(Chennai Super Kings),17,15,2,380,55,29.23,304,125,0,1,0,37,5
JP Faulkner,(Rajasthan Royals),13,11,3,144,46,18,109,132.11,0,0,0,12,5
AJ Finch,(Mumbai Indians),3,3,1,23,10*,11.5,33,69.69,0,0,0,4,0
G Gambhir,(Kolkata Knight Riders),13,13,0,327,60,25.15,278,117.62,0,3,1,41,4
CM Gautam,(Delhi Daredevils),1,1,0,4,4,4,5,80,0,0,0,0,0
CH Gayle,(Royal Challengers Bangalore),14,14,2,491,117,40.91,333,147.44,1,2,0,39,38
S Gopal,(Mumbai Indians),1,1,1,1,1*,0,1,100,0,0,0,0,0
Gurkeerat Singh,(Kings XI Punjab),5,5,0,35,15,7,39,89.74,0,0,0,3,1
Harbhajan Singh,(Mumbai Indians),15,10,3,117,64,16.71,73,160.27,0,1,2,9,9
BE Hendricks,(Kings XI Punjab),4,2,2,1,1*,0,2,50,0,0,0,0,0
MC Henriques,(Sunrisers Hyderabad),9,9,2,287,74*,41,211,136.01,0,2,0,19,13
GB Hogg,(Kolkata Knight Riders),6,2,1,7,5,7,6,116.66,0,0,0,0,0
DJ Hooda,(Rajasthan Royals),14,9,0,151,54,16.77,95,158.94,0,1,0,6,11
MEK Hussey,(Chennai Super Kings),4,4,0,77,56,19.25,70,110,0,1,0,5,3
Imran Tahir,(Delhi Daredevils),10,2,1,5,3*,5,6,83.33,0,0,0,0,0
Iqbal Abdulla,(Royal Challengers Bangalore),5,2,0,20,20,10,18,111.11,0,0,1,4,0
SS Iyer,(Delhi Daredevils),14,14,1,439,83,33.76,342,128.36,0,4,2,41,21
RA Jadeja,(Chennai Super Kings),17,12,5,132,24,18.85,126,104.76,0,0,1,7,3
KM Jadhav,(Delhi Daredevils),14,12,4,189,63*,23.62,140,135,0,1,1,16,7
MG Johnson,(Kings XI Punjab),9,8,4,31,13*,7.75,36,86.11,0,0,1,1,1
Karanveer Singh,(Kings XI Punjab),4,3,2,11,5*,11,16,68.75,0,0,0,1,0
KD Karthik,(Royal Challengers Bangalore),16,11,0,141,28,12.81,117,120.51,0,0,0,15,4
SN Khan,(Royal Challengers Bangalore),13,8,4,111,45*,27.75,71,156.33,0,0,0,12,2
Z Khan,(Delhi Daredevils),7,0,0,0,0,0,0,0,0,0,0,0,0
V Kohli,(Royal Challengers Bangalore),16,16,5,505,82*,45.9,386,130.82,0,3,0,35,23
DS Kulkarni,(Rajasthan Royals),11,2,0,4,3,2,11,36.36,0,0,0,0,0
B Kumar,(Sunrisers Hyderabad),14,3,2,17,11*,17,10,170,0,0,1,2,1
P Kumar,(Sunrisers Hyderabad),12,4,1,17,12,5.66,25,68,0,0,1,1,0
MJ McClenaghan,(Mumbai Indians),12,3,2,13,12*,13,6,216.66,0,0,1,0,2
BB McCullum,(Chennai Super Kings),14,14,1,436,100*,33.53,280,155.71,1,2,0,51,23
NJ Maddinson,(Royal Challengers Bangalore),1,1,0,4,4,4,7,57.14,0,0,0,1,0
SL Malinga,(Mumbai Indians),15,1,1,6,6*,0,10,60,0,0,0,1,0
Mandeep Singh,(Royal Challengers Bangalore),14,9,2,157,54*,22.42,100,157,0,1,2,17,6
SE Marsh,(Kings XI Punjab),4,4,0,81,65,20.25,58,139.65,0,1,0,7,3
AD Mathews,(Delhi Daredevils),11,10,3,144,28,20.57,104,138.46,0,0,1,12,6
GJ Maxwell,(Kings XI Punjab),11,11,0,145,43,13.18,112,129.46,0,0,0,13,8
DA Miller,(Kings XI Punjab),13,13,2,357,89*,32.45,266,134.21,0,2,0,21,21
A Mishra,(Delhi Daredevils),12,4,2,8,4,4,12,66.66,0,0,0,0,0
RG More,(Chennai Super Kings),2,1,1,2,2*,0,2,100,0,0,0,0,0
EJG Morgan,(Sunrisers Hyderabad),9,9,1,187,63,23.37,151,123.84,0,1,0,11,11
JA Morkel,(Delhi Daredevils),4,3,2,86,73*,86,65,132.3,0,1,0,9,2
M Morkel,(Kolkata Knight Riders),7,1,1,4,4*,0,3,133.33,0,0,0,0,0
CH Morris,(Rajasthan Royals),11,7,5,76,34*,38,46,165.21,0,0,1,3,5
DJ Muthuswami,(Delhi Daredevils),6,2,1,1,1,1,3,33.33,0,0,0,0,0
S Nadeem,(Delhi Daredevils),4,1,0,2,2,2,7,28.57,0,0,0,0,0
KK Nair,(Rajasthan Royals),14,12,1,181,61,16.45,145,124.82,0,1,0,18,5
SP Narine,(Kolkata Knight Riders),8,1,1,0,0*,0,1,0,0,0,0,0,0
P Negi,(Chennai Super Kings),10,9,1,116,36,14.5,73,158.9,0,0,0,10,5
A Nehra,(Chennai Super Kings),16,4,3,1,1*,1,7,14.28,0,0,1,0,0
NV Ojha,(Sunrisers Hyderabad),14,11,1,137,28,13.7,121,113.22,0,0,2,12,4
PP Ojha,(Mumbai Indians),1,0,0,0,0,0,0,0,0,0,0,0,0
IC Pandey,(Chennai Super Kings),10,0,0,0,0,0,0,0,0,0,0,0,0
MK Pandey,(Kolkata Knight Riders),13,12,1,225,40,20.45,184,122.28,0,0,1,22,7
HH Pandya,(Mumbai Indians),9,8,3,112,61*,22.4,62,180.64,0,1,2,9,8
Parvez Rasool,(Sunrisers Hyderabad),2,1,1,2,2*,0,2,100,0,0,0,0,0
AR Patel,(Kings XI Punjab),14,12,3,206,40*,22.88,174,118.39,0,0,1,13,8
HV Patel,(Royal Challengers Bangalore),15,7,2,19,9*,3.8,12,158.33,0,0,2,0,2
PA Patel,(Mumbai Indians),14,14,1,339,59,26.07,246,137.8,0,2,2,47,5
YK Pathan,(Kolkata Knight Riders),13,12,5,312,52,44.57,231,135.06,0,1,0,29,12
NLTC Perera,(Kings XI Punjab),2,2,0,12,9,6,15,80,0,0,0,0,1
KA Pollard,(Mumbai Indians),16,14,3,419,70,38.09,256,163.67,0,2,0,28,28
AM Rahane,(Rajasthan Royals),14,13,2,540,91*,49.09,413,130.75,0,4,1,53,13
