Player,Team,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,N4,N5,Ct,St
VR Aaron,Royal Challengers Bangalore,6,5,17.2,0,177,3,2/24,59.00,10.21,34.6,0,0,1,0
SA Abbott,Royal Challengers Bangalore,2,2,5.0,0,57,0,0,0,11.40,0,0,0,0,0
MA Agarwal,Delhi Daredevils,10,0,0,0,0,0,0,0,0,0,0,0,3,0
AN Ahmed,Royal Challengers Bangalore,3,3,12.0,0,128,1,1/28,128.00,10.66,72.0,0,0,0,0
CJ Anderson,Mumbai Indians,4,2,4.0,0,33,1,1/21,33.00,8.25,24.0,0,0,1,0
Ankit Sharma,Rajasthan Royals,4,4,14.0,0,114,3,1/26,38.00,8.14,28.0,0,0,2,0
Anureet Singh,Kings XI Punjab,14,14,51.4,0,465,15,3/23,31.00,9.00,20.6,0,0,4,0
S Aravind,Royal Challengers Bangalore,5,5,18.0,0,132,8,4/27,16.50,7.33,13.5,1,0,1,0
A Ashish Reddy,Sunrisers Hyderabad,6,4,6.0,0,50,3,1/11,16.66,8.33,12.0,0,0,1,0
R Ashwin,Chennai Super Kings,14,13,39.0,0,228,10,2/5,22.80,5.84,23.4,0,0,3,0
Azhar Mahmood,Kolkata Knight Riders,1,1,3.0,0,41,0,0,0,13.66,0,0,0,0,0
GJ Bailey,Kings XI Punjab,13,0,0,0,0,0,0,0,0,0,0,0,1,0
R Bhatia,Rajasthan Royals,2,2,5.0,0,46,0,0,0,9.20,0,0,0,0,0
STR Binny,Rajasthan Royals,13,10,19.0,0,140,4,2/27,35.00,7.36,28.5,0,0,5,0
Bipul Sharma,Sunrisers Hyderabad,4,3,7.0,0,50,3,2/13,16.66,7.14,14.0,0,0,0,0
MS Bisla,Royal Challengers Bangalore,2,0,0,0,0,0,0,0,0,0,0,0,1,0
RS Bopara,Sunrisers Hyderabad,9,7,20.0,0,160,6,2/18,26.66,8.00,20.0,0,0,2,0
J Botha,Kolkata Knight Riders,4,4,10.0,0,81,1,1/32,81.00,8.10,60.0,0,0,4,0
TA Boult,Sunrisers Hyderabad,7,7,28.0,0,236,9,3/19,26.22,8.42,18.6,0,0,2,0
