VR Aaron,2
SA Abbott,0
MA Agarwal,0
AN Ahmed,3
CJ Anderson,2
Ankit Sharma,2
Anureet Singh,2
S Aravind,2
A Ashish Reddy,2
R Ashwin,2
Azhar Mahmood,0
GJ Bailey,0
R Bhatia,0
STR Binny,2
Bipul Sharma,2
MS Bisla,0
RS Bopara,2
J Botha,3
TA Boult,2
DJ Bravo,2
JJ Bumrah,2
KC Cariappa,2
YS Chahal,2
UBT Chand,0
PP Chawla,2
NM Coulter-Nile,2
PJ Cummins,3
Q de Kock,0
M de Lange,0
AB de Villiers,0
R Dhawan,3
S Dhawan,0
MS Dhoni,0
AB Dinda,0
JP Duminy,2
F du Plessis,0
JP Faulkner,2
AJ Finch,0
G Gambhir,0
CM Gautam,0
CH Gayle,0
S Gopal,2
Gurkeerat Singh,2
Harbhajan Singh,2
BE Hendricks,2
MC Henriques,2
GB Hogg,2
DJ Hooda,1
MEK Hussey,0
Imran Tahir,2
Iqbal Abdulla,2
SS Iyer,0
RA Jadeja,2
KM Jadhav,0
MG Johnson,2
Karanveer Singh,1
KD Karthik,0
SN Khan,0
Z Khan,2
V Kohli,0
DS Kulkarni,2
B Kumar,2
P Kumar,2
MJ McClenaghan,2
BB McCullum,0
NJ Maddinson,0
SL Malinga,2
Mandeep Singh,0
SE Marsh,0
AD Mathews,2
GJ Maxwell,2
DA Miller,0
A Mishra,2
RG More,2
EJG Morgan,0
JA Morkel,2
M Morkel,2
CH Morris,2
DJ Muthuswami,2
S Nadeem,0
KK Nair,0
SP Narine,2
P Negi,2
A Nehra,2
NV Ojha,0
PP Ojha,0
IC Pandey,2
MK Pandey,0
HH Pandya,1
Parvez Rasool,2
AR Patel,2
HV Patel,2
PA Patel,0
YK Pathan,2
NLTC Perera,2
KA Pollard,2
AM Rahane,0
KL Rahul,0
SK Raina,2
AT Rayudu,0
RR Rossouw,0
AD Russell,2
WP Saha,0
DJG Sammy,0
SV Samson,0
Sandeep Sharma,2
GS Sandhu,3
V Sehwag,0
Shakib Al Hasan,2
I Sharma,1
KV Sharma,2
MM Sharma,2
RG Sharma,0
Shivam Sharma,2
LMP Simmons,0
DR Smith,2
SPD Smith,0
TG Southee,2
BB Sran,0
MA Starc,2
DW Steyn,2
J Suchith,2
P Suyal,0
PV Tambe,2
AP Tare,0
RN ten Doeschate,0
R Tewatia,2
SN Thakur,2
J Theron,2
MK Tiwary,0
SS Tiwary,0
JD Unadkat,0
RV Uthappa,0
GH Vihari,0
M Vijay,0
R Vinay Kumar,2
M Vohra,0
DA Warner,0
SR Watson,2
D Wiese,2
KS Williamson,0
J Yadav,2
SA Yadav,0
UT Yadav,2
Yuvraj Singh,3
